City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Kahului,US,87.8,few clouds,20.89,-156.47,Maui Seaside Hotel
252,Sao Domingos Do Maranhao,BR,86.18,overcast clouds,-5.58,-44.39,Pousada Babaçu
254,Harper,LR,75.97,overcast clouds,4.38,-7.72,Screensaver
255,San Patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
258,Alugan,PH,77.07,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
261,Cockburn Town,TC,83.64,clear sky,21.46,-71.14,Osprey Beach Hotel
267,La Vergne,US,82.99,broken clouds,36.02,-86.58,Quality Inn & Suites
268,Kavieng,PG,82.78,few clouds,-2.57,150.8,Nusa Island Retreat
271,Porto San Giorgio,IT,75.0,broken clouds,43.18,13.79,David Palace Hotel
276,Buchanan,LR,77.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
279,Butaritari,KI,83.32,few clouds,3.07,172.79,Isles Sunset Lodge
281,Sosua,DO,89.6,few clouds,19.77,-70.52,Piergiorgio Palace Hotel
282,Gat,IL,80.01,clear sky,31.61,34.76,רגע בנחת
287,Kusu,JP,80.01,clear sky,33.28,131.15,玖珠温泉 豊後乃里
291,Bengkulu,ID,76.21,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
299,Riyadh,SA,87.8,scattered clouds,24.69,46.72,InterContinental Riyadh
300,Kathu,TH,86.0,few clouds,7.92,98.33,Sunset Beach Resort
301,Lata,PT,75.0,clear sky,40.16,-8.33,Casa Maquia
303,Portland,US,84.99,clear sky,45.52,-122.68,Portland Marriott City Center
306,Kattivakkam,IN,84.2,mist,13.22,80.32,St. Joseph Thirumana mandapam
308,Touros,BR,78.8,few clouds,-5.2,-35.46,INN NEW HORIZON
309,Mamallapuram,IN,84.2,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
314,Brandon,US,82.4,clear sky,27.94,-82.29,Embassy Suites by Hilton Tampa Brandon
315,Vila Velha,BR,79.0,few clouds,-20.33,-40.29,Hotel Vitória Palace
322,Champerico,GT,87.8,thunderstorm,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
328,Hamilton,US,81.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
334,Dabra,IN,78.8,scattered clouds,25.9,78.33,Vaishnavi Mayank House
343,Ambon,ID,77.63,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
348,Medicine Hat,CA,78.8,broken clouds,50.05,-110.67,Ramada Limited Medicine Hat
350,Safaga,EG,86.97,clear sky,26.73,33.94,Lamar Resort Abu Soma
355,Kapoeta,SS,77.27,overcast clouds,4.77,33.59,Eastgate Hotel
361,New Albany,US,81.0,scattered clouds,38.29,-85.82,Hampton Inn New Albany Louisville West
363,Carmiano,IT,78.8,clear sky,40.34,18.04,Tenuta Monaci La Murra
373,Buala,SB,81.54,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
374,Tautira,PF,82.4,scattered clouds,-17.73,-149.15,Pension Oaoa
376,Front Royal,US,82.0,broken clouds,38.92,-78.19,Hampton Inn Front Royal
386,Wenling,CN,82.0,scattered clouds,28.37,121.36,Hanting Express Wenling Wanchang North Road
388,Saijo,JP,79.0,scattered clouds,33.92,133.18,Saijo Urban Hotel
394,Fort-De-France,MQ,87.8,broken clouds,14.61,-61.07,Patio Gallieni
402,Mogadishu,SO,76.12,broken clouds,2.04,45.34,Hotel Juba
404,Formosa Do Rio Preto,BR,82.26,scattered clouds,-11.05,-45.19,Porto Center Hotel
405,Puerto Escondido,MX,86.07,light rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
412,San Andres,CO,86.0,broken clouds,12.58,-81.7,Hotel Arena Blanca
415,Riachao Das Neves,BR,82.15,broken clouds,-11.75,-44.91,Casa de vó Dina
416,Lufilufi,WS,80.6,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
417,Samarai,PG,75.06,broken clouds,-10.62,150.67,Nuli Sapi
418,Tevaitoa,PF,78.24,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
420,Ewa Beach,US,86.0,scattered clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
421,Kavaratti,IN,82.17,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
422,Norsup,VU,77.0,broken clouds,-16.07,167.38,Nabelchel Bungalows
424,Dalbandin,PK,87.89,clear sky,28.89,64.41,Police station anti NARCOTICS FORCE
432,Pangai,TO,77.0,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
437,Sao Filipe,CV,77.29,broken clouds,14.9,-24.5,Tortuga B&B
440,Afua,BR,81.91,overcast clouds,-0.16,-50.39,Hotel Dias
441,Faanui,PF,77.38,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
442,Mayo,US,82.99,light rain,38.89,-76.51,Resorts Resource Group International
443,Hadishahr,AZ,75.2,clear sky,38.84,45.66,هتل آپارتمان آرامیس
445,Bay Roberts,CA,75.0,scattered clouds,47.6,-53.26,Stonewall Inn
450,Lompoc,US,84.2,broken clouds,34.64,-120.46,Holiday Inn Express Lompoc
452,Nishihara,JP,84.2,scattered clouds,26.18,127.76,Minshuku Agaihama
454,Kinablangan,PH,78.85,overcast clouds,7.69,126.55,Mainit Balete Hot Spring
456,Naze,JP,78.8,mist,28.37,129.48,奄美ポートタワーホテル
460,Gull Lake,CA,89.6,clear sky,50.1,-108.48,Campbell's Accommodations
461,Bakel,SN,84.13,light rain,14.9,-12.46,Hôtel islam
462,Bonham,US,89.01,clear sky,33.58,-96.18,Economy Inn
463,Methoni,GR,82.0,clear sky,36.82,21.7,Methoni Beach Hotel
464,Kulhudhuffushi,MV,81.84,overcast clouds,6.62,73.07,Haajy Guest House 1
469,Oriximina,BR,89.58,overcast clouds,-1.77,-55.87,Pousada Tia Amélia
470,Guru Har Sahai,IN,80.2,moderate rain,30.72,74.42,Jai jagdambe rice mills
474,Kabanjahe,ID,75.2,scattered clouds,3.1,98.49,Pelindung Bawah Losmen
477,Chillicothe,US,78.01,broken clouds,39.33,-82.98,Holiday Inn Express Chillicothe East
478,Najran,SA,87.8,overcast clouds,17.49,44.13,محمد هادي ال فطيح
480,Alghero,IT,75.2,clear sky,40.56,8.32,Hotel Carlos V
481,Shache,CN,75.34,overcast clouds,38.42,77.24,Delong Hotel
488,Chase,CA,84.99,scattered clouds,50.82,-119.69,Chase Country Inn Motel
490,Kijang,KR,78.8,clear sky,35.24,129.21,Brown Dot Gijang Yeonhwari
491,Luxor,EG,86.95,broken clouds,25.7,32.64,Iberotel Luxor
493,Marrakesh,MA,86.0,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
496,Chimore,BO,77.07,light rain,-16.98,-65.13,Bichito
507,Kilindoni,TZ,76.68,overcast clouds,-7.91,39.67,Bustani B&B
509,Gazanjyk,TM,81.82,clear sky,39.24,55.52,Railway motel
510,Takoradi,GH,75.07,few clouds,4.88,-1.76,Raybow International Hotel
512,Lazaro Cardenas,MX,84.87,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
516,Puerto Colombia,CO,77.0,thunderstorm with light rain,10.99,-74.95,Hotel El Emigrante
517,Manokwari,ID,78.01,light rain,-0.87,134.08,Swiss Belhotel Manokwari
523,Casablanca,MA,75.0,clear sky,33.59,-7.62,Hotel Moroccan House Casablanca
525,Mindelo,CV,80.6,scattered clouds,16.89,-24.98,Hotel Gaudi
528,Sinnamary,GF,81.93,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
536,Gushikawa,JP,82.4,clear sky,26.35,127.87,Kirari Guest House
537,Matara,LK,80.08,overcast clouds,5.95,80.54,Amaloh Boutique Resort
538,Zhuhai,CN,82.4,scattered clouds,22.28,113.57,珠海粤财假日酒店
539,Adiake,CI,77.0,few clouds,5.29,-3.3,Hotel Lagune
542,Gizo,SB,81.68,overcast clouds,-8.1,156.84,Imagination Island
544,Santa Lucia,ES,77.0,few clouds,27.91,-15.54,Hotel Viverde Las Tirajanas
545,Banda Aceh,ID,79.5,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
549,Cabra,ES,87.01,clear sky,37.47,-4.44,MS Fuente Las Piedras
553,Albenga,IT,75.99,clear sky,44.05,8.22,Albergo Marisa Snc dei Fratelli Ancona
554,Guanica,PR,88.0,broken clouds,17.97,-66.91,Copamarina Beach Resort & Spa
555,Namie,JP,77.0,clear sky,37.48,141.0,いこいの村なみえ(福島県)
556,Amposta,ES,81.0,clear sky,40.71,0.58,Hotel Hcc Montsià
558,Bose,IT,75.99,overcast clouds,45.46,8.01,Locanda Borgo Antico
559,Catia La Mar,VE,87.8,scattered clouds,10.6,-67.03,HOTEL PLAYA GRANDE CARIBE
561,Sola,VU,80.1,light rain,-13.88,167.55,Leumerus Bungalows
564,Linguere,SN,86.18,light rain,15.4,-15.12,Hôtel Amadou Seck
566,Gamboma,CG,81.43,light rain,-1.88,15.86,Hotel Vianette
568,Xuddur,SO,75.29,overcast clouds,4.12,43.89,Banjanay Hotel
569,Half Moon Bay,US,90.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
573,Sibu,MY,75.2,few clouds,2.3,111.82,RH HOTEL (4 Star)
574,Huntsville,US,89.6,scattered clouds,34.73,-86.59,Embassy Suites by Hilton Huntsville Hotel & Spa
576,San Pedro,PH,77.0,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
580,Ocos,GT,87.8,scattered clouds,14.51,-92.19,La Bajadita
583,Rongcheng,CN,77.61,overcast clouds,30.63,117.85,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
590,Eyl,SO,78.71,clear sky,7.98,49.82,Amiin Hotel
591,Phangnga,TH,78.8,few clouds,8.45,98.53,Rattanapong Hotel
592,Robat Karim,IR,86.0,clear sky,35.48,51.08,فروشگاه دام و طیور
597,Tazmalt,DZ,77.0,clear sky,36.39,4.4,Hôtel Numédia
598,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
601,San Policarpo,PH,77.67,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
602,Jaisalmer,IN,87.82,overcast clouds,26.91,70.92,Hotel Fifu
603,Isla Mujeres,MX,89.6,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
604,Manzanillo,CU,88.21,light rain,20.34,-77.12,Adrian & Tonia
608,Kantabanji,IN,76.19,light rain,20.48,82.92,Kamdhenu Borewell And Trading
609,Vaitape,PF,78.22,light rain,-16.52,-151.75,Conrad Bora Bora Nui
612,Atlantic City,US,80.01,scattered clouds,39.36,-74.42,Resorts Casino Hotel
613,Waspan,NI,89.6,scattered clouds,14.74,-83.97,Hostal casa de la rose
616,Lianzhou,CN,75.16,overcast clouds,24.78,112.38,Qingcheng Tourism Industry
622,Cantanhede,BR,85.21,few clouds,-3.63,-44.38,HOTEL FE EM DEUS
628,Tepechitlan,MX,75.67,light rain,21.67,-103.33,Hotel de León
629,Dumai,ID,75.16,overcast clouds,1.68,101.45,Grand Zuri Dumai
630,Hobyo,SO,77.54,overcast clouds,5.35,48.53,Osmani Hotel
633,Meulaboh,ID,78.3,overcast clouds,4.14,96.13,Kost Pria
634,Hit,IQ,86.58,clear sky,33.64,42.83,Aboody Alhachem
635,Saint-Francois,FR,78.8,scattered clouds,46.42,3.91,Manoir Du Bonheur
637,Edgewater,US,82.99,thunderstorm,28.99,-80.9,Islander Beach Resort
639,North Bend,US,81.0,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
642,Marsa Matruh,EG,76.28,clear sky,31.35,27.25,Beau Site
644,Mao,ES,78.8,clear sky,39.89,4.27,ARTIEM Capri
645,Sibolga,ID,77.49,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
653,San Juan Del Sur,NI,86.0,scattered clouds,11.25,-85.87,Nuestra Casa
654,Crotone,IT,78.15,few clouds,39.09,17.12,Helios Hotel
657,Abonnema,NG,76.96,overcast clouds,4.71,6.79,Corper's Lodge Obonoma
661,Sao Joao Da Barra,BR,78.8,clear sky,-21.64,-41.05,Pousada Porto De Canoas
662,Lincoln,US,84.99,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
663,Briancon,FR,75.0,clear sky,44.9,6.65,Auberge de la Paix
666,Uchiza,PE,86.38,light rain,-8.46,-76.46,Hotel El Rancho
668,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
675,San Cosme Y Damian,PY,75.2,clear sky,-27.32,-56.35,Posada Turística Aguapey
677,Praia,CV,82.4,few clouds,14.92,-23.51,LT Aparthotel
