City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Hohhot,CN,40.81,111.65,73.4,56,20,4.47,few clouds
84,Kirkenes,NO,69.73,30.05,50.0,100,75,12.75,broken clouds
85,Puerto Ayora,EC,-0.74,-90.35,66.99,94,77,8.01,broken clouds
86,Gornopravdinsk,RU,60.05,69.9,58.96,83,100,3.78,overcast clouds
87,San Jeronimo,PE,-11.95,-75.28,50.88,64,29,2.37,scattered clouds
88,Oum Hadjer,TD,13.3,19.7,77.99,77,61,6.91,broken clouds
89,Tiksi,RU,71.69,128.87,40.21,86,100,11.95,overcast clouds
90,Rikitea,PF,-23.12,-134.97,71.74,81,56,9.1,broken clouds
91,Canton,CN,23.12,113.25,84.0,74,90,20.13,overcast clouds
92,Palmer,US,42.16,-72.33,62.01,87,1,2.28,clear sky
93,Saint-Philippe,RE,-21.36,55.77,71.6,56,43,2.24,scattered clouds
94,Nikolskoye,RU,59.7,30.79,57.0,81,0,6.71,clear sky
95,Chokurdakh,RU,70.63,147.92,36.66,86,100,11.18,overcast clouds
96,Casper,US,42.87,-106.31,75.99,25,1,8.05,clear sky
97,Husavik,IS,66.04,-17.34,48.2,81,90,6.93,overcast clouds
98,Makakilo City,US,21.35,-158.09,86.0,54,20,6.93,few clouds
99,Belyy Yar,RU,53.6,91.39,60.8,93,75,2.24,light intensity shower rain
100,Miles City,US,46.41,-105.84,82.4,24,1,10.29,clear sky
101,Victoria,HK,22.29,114.16,84.99,78,40,12.75,light intensity shower rain
102,Cherskiy,RU,68.75,161.3,48.47,74,100,7.85,overcast clouds
103,Voh,NC,-20.97,164.7,74.95,50,0,5.91,clear sky
104,Clyde River,CA,70.47,-68.59,46.4,93,90,2.82,overcast clouds
105,Arraial Do Cabo,BR,-22.97,-42.03,71.92,85,20,21.74,few clouds
106,Sinnamary,GF,5.38,-52.95,77.88,86,7,6.91,clear sky
107,Ribeira Grande,PT,38.52,-28.7,70.0,74,23,15.77,few clouds
108,San Ramon,US,37.78,-121.98,89.01,27,1,6.93,smoke
109,Mount Pleasant,US,32.79,-79.86,79.0,100,1,9.62,mist
110,Kapaa,US,22.08,-159.32,79.0,78,40,12.75,light rain
111,Mahon,ES,39.89,4.27,71.6,88,7,5.82,clear sky
112,Caravelas,BR,-17.71,-39.25,70.92,90,7,5.26,clear sky
113,Pyshchug,RU,58.89,45.71,47.35,73,0,8.75,clear sky
114,Rio Gallegos,AR,-51.62,-69.22,28.4,86,25,10.29,scattered clouds
115,Coquimbo,CL,-29.95,-71.34,50.0,81,90,4.7,overcast clouds
116,Constitucion,CL,-35.33,-72.42,45.86,77,18,6.93,few clouds
117,Yellowknife,CA,62.46,-114.35,61.0,77,75,9.17,broken clouds
118,Sakakah,SA,29.97,40.21,77.0,27,0,4.7,clear sky
119,Dingle,PH,11.0,122.67,84.65,77,99,6.8,light rain
120,Maymyo,MM,22.03,96.47,86.0,70,75,11.41,broken clouds
121,Kindu,CD,-2.95,25.95,72.23,79,0,2.53,clear sky
122,Bluff,NZ,-46.6,168.33,55.0,83,95,8.99,overcast clouds
123,Egvekinot,RU,66.32,-179.17,52.21,62,98,4.99,overcast clouds
124,Porto Novo,BJ,6.5,2.6,75.2,94,40,11.41,scattered clouds
125,Osinki,RU,52.84,49.51,56.28,70,51,6.08,broken clouds
126,Hilo,US,19.73,-155.09,77.0,78,90,6.69,light rain
127,Itoman,JP,26.12,127.67,91.4,63,40,10.29,scattered clouds
128,Tuatapere,NZ,-46.13,167.68,55.0,83,94,8.99,overcast clouds
129,Barra Do Garcas,BR,-15.89,-52.26,74.05,32,1,2.3,clear sky
130,Arrecife,ES,28.96,-13.55,71.6,83,0,18.34,clear sky
131,Bambous Virieux,MU,-20.34,57.76,73.4,69,40,13.87,scattered clouds
132,Kavieng,PG,-2.57,150.8,84.47,72,40,8.81,scattered clouds
133,Luocheng,CN,29.38,104.03,73.17,76,100,3.22,overcast clouds
134,East London,ZA,-33.02,27.91,51.8,53,20,25.28,few clouds
135,Kloulklubed,PW,7.04,134.26,86.0,70,75,11.41,broken clouds
136,Semey,KZ,50.41,80.23,77.0,27,81,13.42,broken clouds
137,College,US,64.86,-147.8,73.4,40,40,3.36,scattered clouds
138,Schoneiche,DE,52.47,13.68,70.0,100,20,6.93,few clouds
139,Kozhva,RU,65.11,57.05,55.09,90,60,2.95,broken clouds
140,Hawkesbury,CA,45.6,-74.62,57.99,87,20,4.7,few clouds
141,Nawada,IN,24.88,85.53,87.8,79,40,4.7,mist
