City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Makakilo City,US,2020-08-17 04:48:09,21.35,-158.09,84.2,51,1,8.05
70,Port Elizabeth,ZA,2020-08-17 04:43:35,-33.92,25.57,42.8,81,78,5.82
71,Huarmey,PE,2020-08-17 04:48:10,-10.07,-78.15,59.23,85,93,6.93
72,Longyearbyen,SJ,2020-08-17 04:48:10,78.22,15.64,39.2,86,75,2.24
73,Lata,PT,2020-08-17 04:48:10,40.16,-8.33,64.99,95,77,3.2
74,Kokologo,BF,2020-08-17 04:48:10,12.19,-1.89,75.2,100,72,5.82
75,Zhigansk,RU,2020-08-17 04:48:11,66.77,123.37,57.72,41,0,10.27
76,Mahebourg,MU,2020-08-17 04:48:11,-20.41,57.7,73.4,73,40,17.22
77,Victoria,HK,2020-08-17 04:47:17,22.29,114.16,89.01,66,99,11.99
78,Port Alfred,ZA,2020-08-17 04:48:11,-33.59,26.89,48.81,67,79,7.18
79,Atuona,PF,2020-08-17 04:48:12,-9.8,-139.03,78.13,77,1,16.89
80,Rundu,NA,2020-08-17 04:48:12,-17.93,19.77,54.43,37,0,5.06
81,Airai,TL,2020-08-17 04:48:12,-8.93,125.41,75.97,45,9,5.59
82,Ginda,IN,2020-08-17 04:48:12,30.69,78.49,82.4,94,75,4.7
83,Baiao,BR,2020-08-17 04:48:13,-2.79,-49.67,74.91,74,21,2.57
84,Lavrentiya,RU,2020-08-17 04:46:36,65.58,-171.0,51.67,72,100,4.79
85,Lakhipur,IN,2020-08-17 04:48:13,26.03,90.3,87.37,77,87,9.01
86,Ponta Do Sol,PT,2020-08-17 04:48:13,32.67,-17.1,73.4,69,20,18.34
87,Yerbogachen,RU,2020-08-17 04:48:13,61.28,108.01,68.18,34,0,2.51
88,Preobrazheniye,RU,2020-08-17 04:48:14,42.9,133.91,78.39,58,99,7.02
89,Yar-Sale,RU,2020-08-17 04:48:14,66.83,70.83,49.91,81,99,1.9
90,Khatanga,RU,2020-08-17 04:48:14,71.97,102.5,69.48,58,90,4.63
91,Nome,US,2020-08-17 04:45:39,64.5,-165.41,55.0,87,90,6.93
92,Faya,SA,2020-08-17 04:48:15,18.39,42.45,69.8,77,47,4.41
93,Kaitangata,NZ,2020-08-17 04:43:58,-46.28,169.85,46.99,74,61,4.0
94,Angra Dos Reis,BR,2020-08-17 04:48:15,-23.01,-44.32,67.84,86,97,0.2
95,Chokurdakh,RU,2020-08-17 04:48:16,70.63,147.92,42.76,82,100,9.57
96,Jardim,BR,2020-08-17 04:44:06,-21.48,-56.14,67.35,97,61,3.2
97,Muriwai Beach,NZ,2020-08-17 04:43:21,-36.82,174.45,55.99,81,92,1.99
98,Gamba,GA,2020-08-17 04:46:10,-2.65,10.0,73.13,89,100,7.4
99,Marataizes,BR,2020-08-17 04:48:16,-21.04,-40.82,72.1,89,50,10.65
100,Fraga,ES,2020-08-17 04:48:17,41.52,0.35,63.0,72,39,4.7
101,Alice Springs,AU,2020-08-17 04:43:36,-23.7,133.88,87.8,18,0,20.8
102,Camacha,PT,2020-08-17 04:48:17,33.08,-16.33,71.6,88,40,10.29
103,East London,ZA,2020-08-17 04:43:45,-33.02,27.91,44.6,65,19,8.05
104,Prachuap Khiri Khan,TH,2020-08-17 04:45:01,11.82,99.78,89.13,60,69,6.29
105,Thompson,CA,2020-08-17 04:48:18,55.74,-97.86,50.0,87,40,4.7
106,Avarua,CK,2020-08-17 04:48:18,-21.21,-159.78,71.6,64,81,5.82
107,Hokitika,NZ,2020-08-17 04:48:19,-42.72,170.97,50.88,73,50,3.0
108,Prince George,CA,2020-08-17 04:48:19,53.92,-122.75,70.0,77,1,6.93
109,Grindavik,IS,2020-08-17 04:48:19,63.84,-22.43,57.2,82,75,9.17
110,Haines Junction,CA,2020-08-17 04:48:19,60.75,-137.51,49.12,84,100,2.95
111,Mandalgovi,MN,2020-08-17 04:48:20,45.76,106.27,71.2,36,0,15.03
112,Severo-Kurilsk,RU,2020-08-17 04:48:20,50.68,156.12,53.49,86,69,4.03
113,Saskylakh,RU,2020-08-17 04:48:20,71.92,114.08,67.37,35,76,3.76
114,Doha,QA,2020-08-17 04:45:07,25.29,51.53,98.6,30,53,8.05
